date,address,creator,initialBuy,marketCap,bondingCurveKey,vSolInBondingCurve,vTokensInBondingCurve,uri,signature
42:14.7,4SSxm48Spi3Y6YRPBjw8aARS1sUd8bHw58nCzn1vpump,CGcBagyMvPChJgjwdicY21wae4b5CNi1ZCzc4G2Apor2,34281150.13,29.834925026021196,6L2QAjNmBZnAm35uD81P9qbUuTEBPUk6tmQU9yS2V5p8,30.99009900899999,1038718849.870455,https://ipfs.io/ipfs/QmYmYTseRcigdmGmyFQsFYnjGZtWQN9VAAmuzgFJPNTm6t,63ZcmTiekvfhAb7W1fQq3Y7kfL7cJTHjPsxCvDGedthbLfWnxBYnkhZVwBnG1WKiMyMnvt2MfswZcrznVVsir85
42:16.8,GbtJjt64Brak3TeYYSj4ehbpzCvy7TTFXZ2g1itUpump,4RKSKyXuh8aeoMuGAzTviY6XRdKLDqJMBU6CuWvq4vYD,66439628.46,31.77176344623955,paZPW9CRhMri4B7PhvQTvioLhh11hn8DePF9mc89jEF,31.980198018999996,1006560372,https://ipfs.io/ipfs/QmWYwSnRLvUEF3PbqyQfaE2tkctsHCAo9gWzhc6Lt8Pr4i,4zmTFV15SnzWp879cFqS7w4fQmQiRS16Wpso9wSRpUVR51ed5PDEdCgFu1kwwQXddqZt7Kbe4HXbLr1MywJQYxyy
42:22.9,8VRieVJsAmW2cDLQhjCaf7cSYe6rvJB2gbmAxJVKpump,6CdsXek5gbf6g4hJWibVuipsuyE9V8dcNa3Qz8vTWtgn,17418831.14,28.889345891625005,21b2Fi3BKdBgNuCUyAtLBdTZC148HrWetitvd27TUGwr,30.495049503999972,1055581168.864071,https://ipfs.io/ipfs/QmYcUKEaEYdbk127ovGhS4Uv8T6wFzLmyYuem5scddnAVf,4Lwcp9YYkoeened4T3jEUYiPC3nbLBQiUZRTvaqTAtni6ABhxdKFNou2BtP5wF7EFhkiE3qq9uB6trPMdYyypg57
42:44.4,4Gy1AiZPFE9EAAmmVEUC22jX6q3UaNS4sg7DJ4SVpump,7cMFmSjsB2QwKkei85wuUffkpZvhggjBzokSB8jxTrxR,707783.6341,27.99591521958405,4PSNxJnKZo3oHsZbWWxRnXUuPHDBrHqwQ6TTeuyTqqMk,30.019801979999976,1072292216.365913,https://ipfs.io/ipfs/QmTjuGfn9x1k6sTZK7TPMtWd5jFdJ1Zn73CE2GbTcny76X,5Jm6TZCFk54Ga3T5RTmfRZWC2cbie2efcQuyv4xtk4v99g9cpBSkZcBoD8SffffkjqsW1ne6Sr3BxJ6zF1U7ayHf
42:45.5,2wLNVUL2qGA4e7oxwmwRCF4QxuE7qGsh9JEp4x4Vpump,9iFP4g32PyUeNdde1hjawm7WSccs186im767aa82QN1N,2786370.036,28.104769074014083,AVKVk9hUNg6BQnVofnDWhjXUTg1B78yhf7cqRTD8XFsT,30.07810692999999,1070213629.963979,https://ipfs.io/ipfs/QmWXqt9RyfT3B5rMVe43kZEemYvSyWTRtyAE2SWSvjCPgS,58cXPQP9iJVdNKYWxv3C3vKQ18AJ4U7DQjHbENTroVwN27T1QxPxcaE4kN7EkX6MxqC1txzhbc7Gx9bTgEtmyhht
42:51.5,HtQJTZoG3KjBXjbjrz88zKa6njh5rNsjUHZnHvdGpump,H41pUe7SZjPG8iWUQtxXqfSBuR59angnMg3donFUdu31,151983002.8,37.94771991830293,9MQUhvXUbGf4mKsfSmXhh8yP5tQJ85bYWbQn57GCnDvK,34.95049504899997,921016997.2,https://ipfs.io/ipfs/QmXofjbYtHVAKscrgige9sVUem1QA4n1JNQZ7DNTwPaKGx,3YT6Pu2XA3DpWnsPb8naGxXYBCHDHgcWDLj9gWYDhEGjchPEms2fNQTE4iRRwsrMZ3Li32Nue2v7oT58EzQk6tUe
42:55.4,9qtPQnPi8HaVLTNxf86yB925xaNNCrRheKL8box9pump,AkQDdXoNPpUSgftWKz5DEMoyDPdWyzJqwxFAZongHzCH,60168224.27,31.379523212710392,9xY4PeakyPQQnx7L9yoQAJ311JbL9y7vHHnAn92GtqRH,31.78217821699997,1012831775.727124,https://ipfs.io/ipfs/QmQfQMxiga4kEGaDawHJxPxfbdMKcopxQVk8kZrBcMe9Xu,29qbb3rUrWNEYK3VGUYsGXBhtvjbKCrFfRexA85sUEzF9yXhG8dv7MBqAhTForoBbtL6e8xSWH6wtFJv8T9Y9Pk9
42:56.9,4LzvA6PBFnEKhaNFHbQQcw3u3WthAZQW8jzhVHzqpump,7CfXNMe2waX9KZREm1SGBJrvX2HjcMKB6WfhhgWweHQn,34281150.13,29.834925026021196,GTuYzdgwEucfmeJuHWiXb9zhGzgmkmwataQFJqkddGoo,30.99009900899999,1038718849.870455,https://ipfs.io/ipfs/QmdiNXnUcU1Jr2M3PJsvcWznpbHAcibRot6ZsLxH7kHMCm,2rrRdrhDaYYgSCQo84x7AAtFYUdsPd3TUwrE9P8QouTx3sbBNtSUVT4UzEwbh8Q1Tq6Z65sjJeRmK1zfqByAZv3J
43:01.1,3syjJg19MRwd1eqtFRXAqfaU4xUui7TJUXF7yusBpump,2udzbmD8cr2jEnbY9w1LwpnzGAJMSRLU1y6YyC828enj,32231.27223,27.96067324237734,7neUqn3duDb1p5gizJtr8jW1zZn3X1UhT9Zgwfb3Ekxb,30.00090118099999,1072967768.727774,https://ipfs.io/ipfs/QmPPsR5EbxCacjiLG9nM222dAgR5Y9VgkXxUGT8RbZEWg5,21toiDzMhxERRqxV9LeAruV8eRw6aLuYmMoM12H8zrJARyszADdXHvxEDFfD8Tt2cis93juqAuKcnbMhm5mA6Wzr
43:05.0,GMPNs22N1VKKTeJrN6eugR1uGVzxByFEg7GtPHWrpump,FEb3MmfFYJmpYPTFNB26UjQoiPiBjGpSmvbmfPbt9gPm,66433395.87,31.771369990680313,Ffi6bcn6neXVvPTVKpVj3yE3eAXu64mApbfSuZzT7AgJ,31.97999999999999,1006566604,https://ipfs.io/ipfs/QmUXX1eoWdm6a6TT4D5gFR5pmATffbmcBMzuWmRztcsXzU,2d6X1tJoSqku29djKmPf2E3AqCNxr1mctNXDyWJyjSdxJFW1NQMydi1NPdYtpLCtJa3tz395Urzay6FwsBV4igqR
